Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions)
374,Korea Gas,South Korea,4254,-,40069,0.666,1157,0.392,49624
375,Meiji Yasuda Life Insurance,Japan,47385,377,40018,0.067,634,-0.608,367499
376,Olam Group,Singapore,62467,406,39836,0.139,457,-0.107,23828
377,S.F. Holding,China,162823,441,39765,0.238,918,0.387,31439
378,CPC,Taiwan,16682,475,39427,0.313,-6299,-,31702
379,General Dynamics,U.S.,106500,361,39407,0.024,3390,0.041,51585
380,Guangzhou Municipal Construction Group,China,44825,360,39258,0.016,150,0.032,28664
381,China National Nuclear,China,181700,364,39054,0.019,1281,0.08,166795
382,JFE Holdings,Japan,64241,358,38925,0.002,1201,-0.531,41616
383,Intesa Sanpaolo,Italy,95574,298,38836,-0.166,4579,-0.075,1041054
384,MS&AD Insurance Group Holdings,Japan,38584,309,38796,-0.151,1193,-0.49,188341
385,China Taiping Insurance Group,China,68386,334,38706,-0.058,116,-0.755,182634
386,Capital One Financial,U.S.,55943,443,38373,0.198,7360,-0.406,455249
387,HF Sinclair,U.S.,5223,-,38205,1.078,2923,4.235,18126
388,Phoenix Pharma,Germany,35178,394,38045,0.054,252,0.212,14784
389,Shudao Investment Group,China,48713,413,38019,0.1,646,0.508,172256
390,J. Sainsbury,Britain,107000,342,37910,-0.072,249,-0.731,32347
391,Shenzhen Investment Holdings,China,103117,372,37888,0.008,907,-0.45,153290
392,Nutrien,Canada,24700,-,37884,0.367,7660,1.429,54586
393,Dollar General,U.S.,170000,419,37845,0.106,2416,0.007,29083
394,Magna International,Canada,158000,392,37840,0.044,592,-0.609,27789
395,Jardine Matheson,China,425000,397,37724,0.052,354,-0.812,89148
396,China Datang,China,89210,411,37606,0.084,182,-,123159
397,Ecopetrol,Colombia,18903,-,37547,0.529,7435,0.777,62548
398,X5 Retail Group,Netherlands,353196,477,37494,0.253,651,0.122,18224
399,Power Corp. of Canada,Canada,37300,232,37419,-0.326,1510,-0.362,541559
400,China Aerospace Science & Industry,China,141260,341,37371,-0.085,2167,0.028,75170
401,GasTerra,Netherlands,101,-,37338,1.403,38,-0.11,17109
402,Longfor Group Holdings,China,31565,412,37249,0.076,3622,-0.021,114072
403,La Poste,France,238033,340,37224,-0.09,1265,-0.483,824922
404,Arrow Electronics,U.S.,22300,415,37124,0.077,1427,0.288,21763
405,Occidental Petroleum,U.S.,11973,-,37095,0.386,13304,4.73,72609
406,Caixa Econômica Federal,Brazil,86959,-,37066,0.554,1894,-0.4,300664
407,Mitsubishi Electric,Japan,149655,351,36967,-0.072,1580,-0.128,42056
408,Northwestern Mutual,U.S.,8323,387,36921,0.005,912,-0.067,340390
409,Travelers,U.S.,32175,410,36884,0.059,2842,-0.224,115717
410,Shougang Group,China,91165,328,36853,-0.124,189,-0.103,75225
411,Hangzhou Iron and Steel Group,China,11771,336,36818,-0.102,246,-0.297,11939
412,Xinjiang Zhongtai Group,China,42193,434,36762,0.118,112,1.333,21604
413,Northrop Grumman,U.S.,95000,399,36602,0.026,4896,-0.301,43755
414,Guangzhou Industrial Investment Holdings,China,88022,-,36589,0.296,234,-0.542,42301
415,Bank of Nova Scotia,Canada,90979,456,36390,0.165,7701,0.006,989455
416,Hapag-Lloyd,Germany,14248,-,36331,0.38,17912,0.669,41279
417,USAA,U.S.,36820,379,36297,-0.031,-1296,-1.393,204005
418,Daiwa House Industry,Japan,49768,354,36261,-0.082,2278,0.136,46271
419,Haier Smart Home,China,109586,405,36201,0.026,2187,0.08,34194
420,Compal Electronics,Taiwan,73120,317,36040,-0.185,245,-0.459,14767
421,Schneider Electric,France,135000,420,35945,0.052,3657,-0.035,62279
422,Finatis,France,188864,380,35851,-0.043,-155,-,35065
423,ELO Group,France,166397,371,35799,-0.05,35,-0.915,22010
424,Naturgy Energy Group,Spain,7112,-,35723,0.311,1734,0.208,43096
425,Honeywell International,U.S.,97000,417,35466,0.031,4966,-0.104,62275
426,Guangzhou Pharmaceutical Holdings,China,35057,467,35383,0.161,311,-0.027,11489
427,Guangdong Guangxin Holdings,China,40613,-,35368,0.272,356,0.114,18453
428,ACS,Spain,116702,365,35355,-0.077,703,-0.805,40098
429,Vibra Energia,Brazil,3364,-,35155,0.457,298,-0.357,7777
430,Anglo American,Britain,105000,331,35118,-0.155,4514,-0.473,67407
431,Taikang Insurance Group,China,59011,346,34837,-0.142,1615,-0.578,197971
432,Shaanxi Construction Engineering Holding,China,36715,-,34735,0.225,391,0.118,56144
433,Bank of Montreal,Canada,46722,-,34730,0.333,10513,0.705,835312
434,CRRC Group,China,170184,385,34697,-0.061,902,0.015,74224
435,Coop Group,Switzerland,82054,428,34684,0.031,589,-0.037,23736
436,TongLing Nonferrous Metals Group,China,21797,400,34590,-0.026,5,-0.9,14646
437,SK Hynix,South Korea,31944,373,34567,-0.08,1727,-0.794,82571
438,Shanghai Pharmaceuticals Holding,China,47877,430,34486,0.031,835,0.057,28727
439,Lufthansa Group,Germany,93083,-,34466,0.734,832,-,46238
440,Shandong Hi-Speed Group,China,54097,458,34455,0.107,445,-0.351,191751
441,Suzuki Motor,Japan,70012,449,34292,0.08,1634,0.144,34486
442,Mitsubishi Chemical Group,Japan,68639,401,34239,-0.033,710,-0.55,43498
443,3M,U.S.,92000,402,34229,-0.032,5777,-0.024,46455
444,Inditex,Spain,116323,438,34119,0.047,4327,0.135,32556
445,British American Tobacco,Britain,52077,403,34096,-0.035,8219,-0.121,184670
446,US Foods Holding,U.S.,29000,485,34057,0.155,265,0.616,12773
447,Sompo Holdings,Japan,49057,383,34037,-0.083,673,-0.664,108937
448,Magnit,Russia,361000,-,33849,0.344,402,-0.384,18817
449,Warner Bros. Discovery,U.S.,37500,-,33817,1.774,-7371,-8.327,134001
450,Lennar,U.S.,12012,-,33671,0.241,4614,0.042,37984
451,Shanghai Delong Steel Group,China,46403,469,33534,0.105,253,-0.678,21003
452,Poste Italiane,Italy,121033,378,33528,-0.106,1584,-0.151,279155
453,CK Hutchison Holdings,China,300000,393,33523,-0.072,4684,0.087,147143
454,Fomento Económico Mexicano,Mexico,354309,-,33482,0.22,1189,-0.154,41002
455,D.R. Horton,U.S.,13237,-,33480,0.205,5858,0.403,30351
456,Jabil,U.S.,250000,490,33478,0.143,996,0.431,19717
457,Samsung C&T,South Korea,17647,474,33436,0.111,1584,0.108,46887
458,Cheniere Energy,U.S.,1551,-,33428,1.107,1428,-,41266
459,CRH,Ireland,75800,460,33368,0.077,3847,0.5,45188
460,Linde,Britain,65010,463,33364,0.083,4147,0.084,79658
461,DSV,Denmark,76283,496,33321,0.149,2484,0.394,22827
462,Broadcom,U.S.,20000,-,33203,0.21,11495,0.707,73249
463,Wistron,Taiwan,65000,462,33064,0.071,375,-,14097
464,Anhui Conch Group,China,61637,353,32991,-0.169,871,-0.547,43732
465,Beijing Jianlong Heavy Industry Group,China,56300,363,32878,-0.143,229,-0.588,25337
466,Hunan Iron & Steel Group,China,35492,421,32723,-0.039,1176,-0.073,22772
467,Meituan,China,91932,-,32699,0.177,-994,-,35446
468,Lu’an Chemical Group,China,109599,422,32596,-0.043,88,-,49859
469,Compass Group,Britain,513707,-,32564,0.329,1421,1.909,20870
470,Aisin,Japan,116649,409,32528,-0.067,278,-0.78,31157
471,Canadian Natural Resources,Canada,10035,-,32503,0.356,8404,0.375,56206
472,SAP,Germany,111961,433,32469,-0.014,2402,-0.613,76994
473,Starbucks,U.S.,402000,492,32250,0.11,3282,-0.219,27978
474,Metro,Germany,86910,482,32186,0.088,-361,-,12574
475,Molina Healthcare,U.S.,15000,-,31974,0.151,792,0.202,12314
476,Tongwei Group,China,42381,-,31944,0.903,1637,2.303,23181
477,Uber Technologies,U.S.,32800,-,31877,0.826,-9141,-,32109
478,New China Life Insurance,China,32564,416,31861,-0.076,1460,-0.37,181964
479,Luxshare Precision Industry,China,236932,-,31817,0.333,1362,0.243,21514
480,Philip Morris International,U.S.,79800,454,31762,0.011,9048,-0.007,61681
481,CJ Corp.,South Korea,67361,472,31703,0.052,157,-0.349,38348
482,Medtronic,Ireland,95000,473,31686,0.052,5039,0.397,90981
483,China National Aviation Fuel Group,China,13796,414,31650,-0.083,411,-0.046,10472
484,Netflix,U.S.,12800,481,31616,0.065,4492,-0.122,48595
485,Migros Group,Switzerland,70880,450,31576,-0.003,491,-0.329,87312
486,NRG Energy,U.S.,6603,-,31543,0.169,1221,-0.442,29146
487,Mondelez International,U.S.,91000,498,31496,0.097,2717,-0.368,71161
488,Air Liquide,France,67109,-,31483,0.141,2902,-0.046,52836
489,Danaher,U.S.,80000,486,31471,0.069,7209,0.121,84350
490,Siemens Energy,Germany,92000,423,31367,-0.078,-437,-,50052
491,Salesforce,U.S.,79390,-,31352,0.183,208,-0.856,98849
492,Paramount Global,U.S.,27400,483,31331,0.059,1104,-0.757,58393
493,Chengdu Xingcheng Investment Group,China,39094,466,31304,0.025,186,-0.456,157644
494,Bridgestone,Japan,129260,484,31298,0.058,2287,-0.363,37612
495,Guangxi Investment Group,China,33856,445,31263,-0.022,84,0.065,108649
496,Samsung Life Insurance,South Korea,5224,464,31243,0.019,1227,-0.045,251332
497,Sumitomo Life Insurance,Japan,45336,442,31218,-0.026,1033,1.544,321398
498,CarMax,U.S.,30621,432,31126,-0.062,485,-0.579,26183
499,Mitsubishi Heavy Industries,Japan,76859,418,31050,-0.096,964,-0.046,41245
500,Xinjiang Guanghui Industry Investment,China,74069,453,30922,-0.019,159,1.431,37332
