Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions)
53,JPMorgan Chase,U.S.,293723,63,154792,0.217,37676,-0.221,3665743
54,China Life Insurance,China,180619,40,151487,-0.036,6859,1.222,888306
55,Electricité de France,France,165028,95,150902,0.511,-18869,-4.121,414137
56,Equinor,Norway,21936,114,150806,0.659,28746,2.357,158021
57,BMW Group,Germany,149475,59,149991,0.14,18870,0.289,263470
58,Kroger,U.S.,430000,51,148258,0.075,2244,0.356,49623
59,Enel,Italy,65124,90,147790,0.42,1769,-0.531,234332
60,Centene,U.S.,74300,66,144547,0.147,1202,-0.108,76870
61,ENI,Italy,32188,111,140607,0.529,14606,1.122,162323
62,China Mobile Communications,China,452202,57,139597,0.058,14718,0.006,331724
63,China Communications Construction,China,221017,60,138270,0.058,1255,-0.102,344369
64,Verizon Communications,U.S.,117100,54,136835,0.024,21256,-0.037,379680
65,China Minmetals,China,183298,58,133541,0.013,877,0.422,153155
66,Walgreens Boots Alliance,U.S.,262500,45,132703,-0.107,4337,0.706,90124
67,Allianz,Germany,159253,47,129059,-0.107,7087,-0.093,1089944
68,Alibaba Group Holding,China,235216,55,126813,-0.046,10625,0.095,255263
69,Xiamen C&D,China,40959,77,125971,0.129,454,-0.592,104907
70,Honda Motor,Japan,197039,61,124912,-0.036,4813,-0.235,185853
71,Petrobras,Brazil,45149,128,124474,0.482,36623,0.843,187191
72,Shandong Energy Group,China,232841,69,124089,0.034,33,-0.812,137900
73,E.ON,Germany,69378,112,121646,0.33,1926,-0.653,142988
74,China Resources,China,379944,70,121643,0.017,4662,0.026,331830
75,Fannie Mae,U.S.,8000,93,121596,0.197,12923,-0.417,4305288
76,China Energy Investment,China,310753,85,121584,0.135,5699,0.045,281587
77,Comcast,U.S.,186000,73,121427,0.043,5370,-0.621,257275
78,AT&T,U.S.,160700,32,120741,-0.285,-8524,-1.424,402853
79,Deutsche Telekom,Germany,206759,62,120108,-0.066,8415,0.704,318596
80,Pemex,Mexico,120054,166,118537,0.607,4994,-,115262
81,Meta Platforms,U.S.,86482,71,116609,-0.011,23200,-0.411,185727
82,Bank of America,U.S.,216823,105,115053,0.226,27528,-0.139,3051375
83,China Southern Power Grid,China,271202,89,113674,0.092,1516,0.162,166026
84,SAIC Motor,China,154863,68,110612,-0.085,2396,-0.37,143552
85,Hyundai Motor,South Korea,72689,92,110412,0.074,5705,0.321,203299
86,China Post Group,China,752547,81,110271,0.015,4897,-0.182,2131968
87,COFCO,China,103537,91,110222,0.069,1766,0.179,100848
88,Reliance Industries,India,376000,104,109523,0.165,8307,0.019,208710
89,Engie,France,96454,130,109175,0.306,227,-0.948,251268
90,Target,U.S.,440000,87,109120,0.029,2780,-0.6,53335
91,AXA,France,90443,48,109067,-0.245,7021,-0.186,743376
92,SK,South Korea,124499,117,105959,0.203,851,-0.506,154620
93,Mitsui,Japan,46811,88,105694,0.01,8353,0.026,115873
94,Indian Oil,India,32791,142,105349,0.324,1219,-0.638,53808
95,Xiamen ITG Holding Group,China,32856,106,103090,0.099,290,-0.245,46715
96,Itochu,Japan,133051,78,103029,-0.059,5914,-0.19,98777
97,Dell Technologies,U.S.,133000,86,102301,-0.044,2442,-0.561,89611
98,Archer Daniels Midland,U.S.,41181,124,101556,0.191,4340,0.602,59774
99,Citigroup,U.S.,238104,141,101078,0.266,14845,-0.324,2416676
100,CITIC Group,China,172761,102,100769,0.048,3904,-0.202,1536521
101,United Parcel Service,U.S.,404700,97,100338,0.031,11548,-0.104,71124
102,Pfizer,U.S.,83000,137,100330,0.234,31372,0.427,197205
103,Deutsche Post DHL Group,Germany,554975,99,99324,0.028,5636,-0.057,72853
104,Banco Santander,Spain,204300,146,99231,0.261,10102,0.052,1850881
105,PowerChina,China,182424,100,99020,0.027,621,-0.086,187768
106,Nestlé,Switzerland,275000,103,98931,0.038,9712,-0.475,146174
107,Life Insurance Corp. of India,India,104036,98,98535,0.013,4483,7.094,557673
108,Lowe's,U.S.,244500,101,97059,0.008,6437,-0.238,43708
109,Nippon Telegraph and Telephone,Japan,338651,83,97049,-0.103,8962,-0.148,190665
110,PTT,Thailand,30628,177,96162,0.361,2604,-0.232,98832
111,Huawei Investment & Holding,China,207000,96,95490,-0.033,5283,-0.7,154237
112,Johnson & Johnson,U.S.,152700,107,94943,0.012,17941,-0.141,187378
113,Sinopharm,China,201508,80,94075,-0.135,1101,-0.91,81654
114,FedEx,U.S.,518249,129,93512,0.114,3826,-0.269,85994
115,COSCO Shipping,China,107793,127,93181,0.108,6233,-0.029,161552
116,Humana,U.S.,67100,132,92870,0.118,2806,-0.043,43055
117,Brookfield,Canada,202500,158,92769,0.225,2056,-0.482,441284
118,Bosch Group,Germany,421338,108,92766,-0.004,1367,-0.426,106964
119,BASF,Germany,111481,109,91847,-0.012,-660,-1.101,90132
120,People's Insurance Co. of China,China,177852,110,91535,-0.007,3639,0.093,218805
121,Royal Ahold Delhaize,Netherlands,249000,115,91486,0.024,2678,0.008,51808
122,ENEOS Holdings,Japan,44617,140,91437,0.141,1062,-0.778,74993
123,Hengli Group,China,170125,75,90944,-0.199,356,-0.85,48633
124,Amer International Group,China,23175,76,90498,-0.192,1497,-0.256,31835
125,Carrefour,France,334640,119,90062,0.025,1418,0.119,60340
126,Energy Transfer,U.S.,12565,184,89876,0.333,4756,-0.131,105643
127,BNP Paribas,France,193122,123,89564,0.05,10724,-0.044,2845023
128,State Farm Insurance,U.S.,60519,135,89328,0.086,-6654,-6.195,318243
129,Seven & I Holdings,Japan,125701,147,88078,0.123,2095,0.109,77461
130,HSBC Holdings,Britain,219199,149,87807,0.135,16035,0.152,2966530
131,China FAW Group,China,119487,79,87679,-0.199,3846,0.068,86465
132,China Telecommunications,China,392726,131,87166,0.043,2061,0.065,151749
133,Freddie Mac,U.S.,7819,191,86717,0.316,9327,-0.23,3208333
134,Crédit Agricole,France,72758,84,86471,-0.197,5718,-0.172,2312852
135,PepsiCo,U.S.,315000,143,86392,0.087,8910,0.17,92187
136,Zhejiang Rongsheng Holding Group,China,23316,180,86166,0.24,170,-0.855,56816
137,Assicurazioni Generali,Italy,82061,72,85750,-0.268,3063,-0.09,553827
138,Wuchan Zhongda Group,China,24247,120,85710,-0.017,581,-0.059,21030
139,Petronas,Malaysia,49771,216,85365,0.426,20999,1.081,161493
140,Sony,Japan,112994,116,85255,-0.035,6923,-0.118,241383
141,Pertamina,Indonesia,33596,223,84888,0.476,3807,0.861,87811
142,XMXYG,China,15364,160,83639,0.114,300,-0.268,42458
143,Christian Dior,France,180597,156,83283,0.097,6097,0.043,140792
144,Wells Fargo,U.S.,238000,134,82859,0.005,13182,-0.388,1881016
145,Walt Disney,U.S.,195800,183,82722,0.227,3145,0.576,203631
